chr	start	end	HUGO	cyto	arm	strand	entrezgene	chr_cyto	arm_chr
19	40230317	40285536	AKT2	q13.2	19q	-1	208	19q13.2	chr19q
1	243488233	243851079	AKT3	q44	1q	-1	10000	1q44	chr1q
19	48954815	48961798	BAX	q13.33	19q	1	581	19q13.33	chr19q
13	40469953	40666597	FOXO1	q14.11	13q	-1	2308	13q14.11	chr13q
12	55966769	55972784	CDK2	q13.2	12q	1	1017	12q13.2	chr12q
19	29811898	29824308	CCNE1	q12	19q	1	898	19q12	chr19q
20	56369389	56392337	AURKA	q13.2	20q	-1	6790	20q13.2	chr20q
12	68808176	68850686	MDM2	q15	12q	1	4193	12q15	chr12q
21	25734570	25772460	GABPA	q21.3	21q	1	2551	21q21.3	chr21q
15	50275392	50355408	GABPB1	q21.2	15q	-1	2553	15q21.2	chr15q
1	151070578	151125542	GABPB2	q21.3	1q	1	126626	1q21.3	chr1q
12	57460135	57472262	GLI1	q13.3	12q	1	2735	12q13.3	chr12q
7	155799986	155812273	SHH	q36.3	7q	-1	6469	7q36.3	chr7q
7	129188872	129213545	SMO	q32.1	7q	1	6608	7q32.1	chr7q
9	136494444	136545862	NOTCH1	q34.3	9q	-1	4851	9q34.3	chr9q
1	119911553	120069626	NOTCH2	p12	1p	-1	4853	1p12	chr1p
14	75278774	75282230	FOS	q24.3	14q	1	2353	14q24.3	chr14q
1	58780788	58784327	JUN	p32.1	1p	-1	3725	1p32.1	chr1p
11	6603708	6610874	ILK	p15.4	11p	1	3611	11p15.4	chr11p
2	15940564	15947007	MYCN	p24.3	2p	1	4613	2p24.3	chr2p
3	41194837	41260096	CTNNB1	p22.1	3p	1	1499	3p22.1	chr3p
17	40309192	40357643	RARA	q21.2	17q	1	5914	17q21.2	chr17q
3	25174332	25597932	RARB	p24.2	3p	1	5915	3p24.2	chr3p
12	53210567	53232980	RARG	q13.13	12q	-1	5916	12q13.13	chr12q
3	181711924	181714436	SOX2	q26.33	3q	1	6657	3q26.33	chr3q
11	15966449	16739591	SOX6	p15.2	11p	-1	55553	11p15.2	chr11p
12	48978453	48981676	WNT1	q13.12	12q	1	7471	12q13.12	chr12q
1	47216290	47232220	TAL1	p33	1p	-1	6886	1p33	chr1p
11	118436490	118526832	KMT2A	q23.3	11q	1	4297	11q23.3	chr11q
3	69739435	69968337	MITF	p13	3p	1	4286	3p13	chr3p
3	169083499	169663618	MECOM	q26.2	3q	-1	2122	3q26.2	chr3q
3	187721377	187745727	BCL6	q27.3	3q	-1	604	3q27.3	chr3q
